pair_id,matt_ref,luke_ref,matt_index,luke_index,score,score_content,score_all,neighbor_support,rank_matt_to_luke,rank_luke_to_matt,pair_classes,matt_token_count,luke_token_count,matt_content_count,luke_content_count
18,Matt 4:6,Luke 4:11,70,180,0.601248,0.600773,0.602468,0.547393,1,1,matt_expands,32,13,14,5
19,Matt 4:7,Luke 4:12,71,181,0.547393,0.546667,0.549261,0.601248,1,1,substitution,12,14,8,8
20,Matt 4:23,Luke 4:15,87,184,0.237035,0.220673,0.279111,0.014805,1,2,matt_expands;substitution,27,10,14,4
21,Matt 7:28,Luke 4:32,199,201,0.276903,0.243526,0.362732,0.062575,1,2,matt_expands;reordering,16,13,8,5
22,Matt 8:2,Luke 5:12,202,225,0.361152,0.339134,0.417771,0.794993,1,1,luke_expands;substitution,13,31,8,17
23,Matt 8:3,Luke 5:13,203,226,0.794993,0.794161,0.79713,0.544631,1,1,partial_overlap,15,16,9,9
24,Matt 8:4,Luke 5:14,204,227,0.544631,0.561111,0.502255,0.794993,1,1,partial_overlap,24,24,13,11
25,Matt 9:2,Luke 5:20,236,233,0.33584,0.302497,0.421578,0.06328,1,1,matt_expands,24,12,13,6
26,Matt 9:4,Luke 5:22,238,235,0.11005,0.066231,0.222728,0.949916,2,9,substitution,15,17,8,8
27,Matt 9:5,Luke 5:23,239,236,0.949916,1.0,0.821128,0.416206,1,1,close_match,14,14,9,9
28,Matt 9:6,Luke 5:24,240,237,0.416206,0.386384,0.492892,0.949916,1,1,partial_overlap,30,31,16,16
29,Matt 9:7,Luke 5:25,241,238,0.298636,0.288203,0.325464,0.416206,2,1,luke_expands,7,17,3,8
30,Matt 9:8,Luke 5:26,242,239,0.144382,0.130509,0.180056,0.298636,7,1,substitution,15,16,9,11
31,Matt 9:9,Luke 5:27,243,240,0.280139,0.259588,0.332986,0.144382,1,1,matt_expands;substitution,22,18,13,10
32,Matt 9:10,Luke 5:29,244,242,0.162581,0.145325,0.206955,0.407669,3,1,substitution,21,22,10,12
33,Matt 9:11,Luke 5:30,245,243,0.407669,0.471652,0.562741,0.624379,1,1,luke_expands;substitution,19,23,9,10
34,Matt 9:12,Luke 5:31,246,244,0.624379,0.633106,0.601936,0.481486,1,1,luke_expands,14,17,9,10
35,Matt 9:13,Luke 5:32,247,245,0.481486,0.499381,0.43547,0.624379,1,1,matt_expands,17,8,13,6
36,Matt 9:14,Luke 5:33,248,246,0.22908,0.21435,0.266957,0.481486,1,1,luke_expands;substitution,21,24,12,13
37,Matt 9:15,Luke 5:35,249,248,0.483004,0.470751,0.514512,0.235883,1,1,matt_expands,31,16,15,9
38,Matt 9:16,Luke 5:36,250,249,0.235883,0.235109,0.237873,0.771347,1,1,luke_expands;substitution;reordering,21,35,13,20
39,Matt 9:17,Luke 5:37,251,250,0.771347,0.77675,0.757453,0.235883,1,1,matt_expands,32,25,19,14
40,Matt 9:34,Luke 6:2,268,254,0.151026,0.157298,0.1349,0.02528,8,7,partial_overlap,12,12,6,8
41,Matt 10:2,Luke 6:14,274,266,0.35904,0.356754,0.36492,0.353228,1,1,matt_expands;substitution,27,18,15,10
42,Matt 10:3,Luke 6:15,275,267,0.353228,0.342272,0.381402,0.35904,1,1,reordering,14,12,8,7
43,Matt 10:4,Luke 6:16,276,268,0.146952,0.118408,0.220352,0.353228,2,2,substitution,11,9,6,6
44,Matt 10:22,Luke 6:22,294,274,0.139921,0.160116,0.087993,0.017573,3,6,luke_expands;substitution;reordering,16,25,8,11
45,Matt 10:24,Luke 6:40,296,292,0.508187,0.502719,0.522248,0.010553,1,1,substitution,12,14,6,8
46,Matt 11:2,Luke 7:18,316,319,0.130752,0.110128,0.183785,0.404583,1,4,reordering,16,18,7,10
47,Matt 11:3,Luke 7:19,317,320,0.404583,0.392047,0.436819,0.130752,1,1,luke_expands,9,12,5,7
48,Matt 11:5,Luke 7:22,319,323,0.757422,0.829929,0.570974,1.0,1,1,luke_expands,16,23,12,19
49,Matt 11:6,Luke 7:23,320,324,1.0,1.0,1.0,0.758118,1,1,close_match,9,9,4,4
50,Matt 11:7,Luke 7:24,321,325,0.758118,0.762306,0.747347,1.0,1,1,partial_overlap,21,22,14,14
51,Matt 11:8,Luke 7:25,322,326,0.411005,0.387539,0.471347,0.758118,1,1,substitution,19,21,11,13
52,Matt 11:9,Luke 7:26,323,327,0.572767,0.67966,0.746934,0.806694,1,1,partial_overlap,11,11,7,7
53,Matt 11:10,Luke 7:27,324,328,0.806694,1.0,0.942045,0.572767,1,1,partial_overlap,21,20,8,8
54,Matt 11:11,Luke 7:28,325,329,0.475585,0.439332,0.568808,0.806694,1,1,matt_expands,23,20,13,12
55,Matt 11:16,Luke 7:31,330,332,0.326893,0.332553,0.312338,0.592822,1,1,matt_expands;reordering,17,12,11,8
56,Matt 11:17,Luke 7:32,331,333,0.592822,0.598211,0.578962,0.512271,1,1,luke_expands,10,21,7,13
57,Matt 11:18,Luke 7:33,332,334,0.512271,0.492837,0.562246,0.689853,1,1,luke_expands,11,15,7,11
58,Matt 11:19,Luke 7:34,333,335,0.689853,0.683482,0.706235,0.512271,1,1,matt_expands,27,19,15,12
59,Matt 12:4,Luke 7:36,348,337,0.177348,0.160524,0.22061,0.0237,2,1,matt_expands;reordering,28,18,13,8
60,Matt 12:31,Luke 7:47,375,348,0.127069,0.121793,0.140638,0.119677,6,6,substitution,18,19,11,10
61,Matt 12:32,Luke 7:48,376,349,0.119677,0.134025,0.08278,0.127069,8,15,matt_expands;substitution;reordering,33,7,13,3
62,Matt 12:45,Luke 8:2,389,353,0.116847,0.121405,0.105125,0.005351,4,2,matt_expands;substitution;reordering,33,20,22,13
63,Matt 13:2,Luke 8:4,396,355,0.129268,0.12961,0.128387,0.417396,5,5,matt_expands;substitution;reordering,20,14,10,7
64,Matt 13:4,Luke 8:5,398,356,0.529176,0.47356,0.672189,0.099809,1,1,luke_expands,17,28,6,11
65,Matt 13:6,Luke 8:6,400,357,0.176848,0.161525,0.21625,0.338638,1,1,luke_expands,11,14,7,8
66,Matt 13:7,Luke 8:7,401,358,0.338638,0.292307,0.457773,0.176848,1,1,substitution,13,13,6,7
67,Matt 13:9,Luke 8:8,403,359,0.402374,0.399534,0.409677,0.171969,2,2,luke_expands,4,21,3,15
68,Matt 13:10,Luke 8:9,404,360,0.171969,0.16736,0.18382,0.41144,1,3,substitution,12,11,6,6
69,Matt 13:11,Luke 8:10,405,361,0.41144,0.411051,0.412441,0.171969,1,1,luke_expands;substitution,19,25,10,14
70,Matt 13:18,Luke 8:11,412,362,0.13513,0.086993,0.25891,0.151355,3,5,luke_expands;substitution,7,12,3,7
71,Matt 13:19,Luke 8:12,413,363,0.151355,0.106169,0.267549,0.13513,2,1,matt_expands;substitution;reordering,27,24,15,12
72,Matt 13:21,Luke 8:13,415,364,0.113033,0.117131,0.102495,0.265346,1,4,luke_expands;substitution;reordering,19,27,11,14
73,Matt 13:22,Luke 8:14,416,365,0.265346,0.25866,0.282541,0.24458,1,1,matt_expands;substitution;reordering,29,24,15,13
74,Matt 13:23,Luke 8:15,417,366,0.24458,0.25598,0.215265,0.265346,1,1,matt_expands;substitution,29,22,13,12
75,Matt 13:37,Luke 8:21,431,372,0.121777,0.098385,0.181928,0.029523,11,14,luke_expands;substitution,14,21,8,10
76,Matt 13:51,Luke 8:45,445,396,0.131545,0.139714,0.110541,0.00906,7,2,luke_expands;substitution,6,21,4,12
77,Matt 14:1,Luke 9:7,453,414,0.295498,0.303523,0.274864,0.001274,1,1,luke_expands,11,20,7,11
78,Matt 14:10,Luke 9:9,462,416,0.141019,0.153215,0.109659,0.005029,2,1,luke_expands;substitution;reordering,8,19,4,11
79,Matt 14:15,Luke 9:12,467,419,0.157543,0.146665,0.185515,0.1774,1,1,luke_expands;reordering,28,32,17,19
80,Matt 14:16,Luke 9:13,468,420,0.1774,0.172156,0.190883,0.157543,4,2,luke_expands;reordering,13,32,8,17
81,Matt 14:19,Luke 9:16,471,423,0.573559,0.586251,0.540923,0.531117,1,1,matt_expands,33,24,18,13
82,Matt 14:20,Luke 9:17,472,424,0.531117,0.513461,0.576517,0.573559,1,1,partial_overlap,14,13,9,8
83,Matt 15:10,Luke 9:18,498,425,0.132575,0.125932,0.149658,0.004486,5,3,luke_expands;reordering,9,23,5,12
84,Matt 16:14,Luke 9:19,541,426,0.386177,0.483106,0.439682,0.578871,1,1,substitution,18,18,9,11
85,Matt 16:15,Luke 9:20,542,427,0.578871,0.551091,0.650303,0.386177,1,1,luke_expands,8,17,4,9
86,Matt 16:20,Luke 9:21,547,428,0.204756,0.219029,0.168054,0.549462,2,1,matt_expands;substitution;reordering,12,8,7,5
87,Matt 16:21,Luke 9:22,548,429,0.549462,0.528244,0.604023,0.204756,1,1,matt_expands,32,25,17,14
88,Matt 16:24,Luke 9:23,551,430,0.478535,0.417463,0.635578,0.831073,1,1,partial_overlap,23,22,11,10
89,Matt 16:25,Luke 9:24,552,431,0.831073,0.83273,0.826812,0.478535,1,1,partial_overlap,21,22,7,8
90,Matt 16:26,Luke 9:25,553,432,0.46549,0.46936,0.455538,0.831073,1,1,matt_expands;substitution,22,13,13,8
91,Matt 16:27,Luke 9:26,554,433,0.255779,0.260057,0.24478,0.536718,1,1,luke_expands,25,28,11,12
92,Matt 16:28,Luke 9:27,555,434,0.536718,0.542925,0.520759,0.255779,1,1,matt_expands;substitution,26,21,14,13
93,Matt 17:1,Luke 9:28,556,435,0.175104,0.149788,0.240203,0.536718,2,1,matt_expands;reordering,24,21,12,13
94,Matt 17:2,Luke 9:29,557,436,0.1336,0.120065,0.168403,0.435008,1,1,matt_expands;substitution;reordering,21,18,8,8
95,Matt 17:3,Luke 9:30,558,437,0.435008,0.451393,0.392874,0.1336,1,1,partial_overlap,10,11,4,6
96,Matt 17:4,Luke 9:33,559,440,0.44851,0.485894,0.352378,0.269768,1,1,luke_expands;substitution,27,36,19,21
97,Matt 17:5,Luke 9:35,560,442,0.378496,0.372088,0.394974,0.018581,1,1,matt_expands,27,16,14,9
98,Matt 17:8,Luke 9:36,563,443,0.264173,0.301129,0.169145,0.047386,1,1,luke_expands;substitution;reordering,12,22,7,12
99,Matt 17:16,Luke 9:40,571,447,0.276857,0.244829,0.359215,0.657006,1,1,partial_overlap,11,11,5,5
100,Matt 17:17,Luke 9:41,572,448,0.657006,0.668631,0.627113,0.276857,1,1,partial_overlap,23,23,12,12
101,Matt 17:18,Luke 9:42,573,449,0.213542,0.190788,0.272052,0.657006,2,1,luke_expands;substitution;reordering,19,28,8,13
102,Matt 17:22,Luke 9:44,576,451,0.377105,0.380258,0.368995,0.013025,1,1,substitution,19,19,10,10
103,Matt 18:2,Luke 9:47,583,454,0.266688,0.268907,0.260982,0.090336,2,1,luke_expands;substitution;reordering,8,15,4,7
104,Matt 18:5,Luke 9:48,586,455,0.404448,0.388152,0.44635,0.057318,1,2,luke_expands,13,34,6,15
105,Matt 18:10,Luke 15:3,591,697,0.115136,0.123433,0.093801,0.276068,2,13,matt_expands;substitution;reordering,27,8,13,4
106,Matt 18:12,Luke 15:4,592,698,0.276068,0.262185,0.311767,0.115136,1,1,substitution;reordering,27,28,16,14
107,Matt 18:13,Luke 15:7,593,701,0.180039,0.1628,0.224367,0.039889,2,2,substitution,21,23,9,15
108,Matt 18:14,Luke 17:2,594,759,0.136722,0.132086,0.148644,0.238229,1,2,luke_expands;substitution,17,22,10,11
109,Matt 18:15,Luke 17:3,595,760,0.238229,0.232958,0.251781,0.136722,1,1,matt_expands,23,14,8,6
110,Matt 18:21,Luke 17:4,601,761,0.230272,0.225945,0.241398,0.016315,1,1,substitution;reordering,19,17,10,8
111,Matt 18:33,Luke 17:13,613,770,0.148226,0.166849,0.100337,0.006281,2,1,matt_expands,12,9,5,6
112,Matt 19:5,Luke 17:34,620,791,0.152252,0.176367,0.090243,0.122915,2,4,matt_expands;substitution;reordering,23,17,12,11
113,Matt 19:6,Luke 17:35,621,792,0.122915,0.128565,0.108387,0.152252,5,3,substitution,15,13,10,8
114,Matt 19:13,Luke 18:15,628,808,0.247569,0.234169,0.282027,0.636898,1,1,reordering,16,15,8,7
115,Matt 19:14,Luke 18:16,629,809,0.636898,0.580841,0.781044,0.247569,1,1,partial_overlap,22,24,11,12
116,Matt 19:16,Luke 18:18,631,811,0.303003,0.313162,0.276878,0.206537,2,1,partial_overlap,14,13,10,11
117,Matt 19:17,Luke 18:19,632,812,0.206537,0.184849,0.262305,0.303003,1,2,matt_expands;substitution;reordering,24,16,12,10
118,Matt 19:19,Luke 18:20,634,813,0.243681,0.258279,0.206142,0.13818,1,1,luke_expands;reordering,13,18,5,13
119,Matt 19:20,Luke 18:21,635,814,0.13818,0.147053,0.115363,0.424855,3,5,substitution;reordering,10,9,8,5
120,Matt 19:21,Luke 18:22,636,815,0.424855,0.417469,0.443847,0.13818,1,1,substitution,25,26,15,16
121,Matt 19:23,Luke 18:24,638,817,0.195743,0.180271,0.235529,0.515534,1,1,substitution;reordering,19,18,9,10
122,Matt 19:24,Luke 18:25,639,818,0.515534,0.512674,0.522889,0.428184,1,1,partial_overlap,18,16,11,10
123,Matt 19:25,Luke 18:26,640,819,0.428184,0.469124,0.32291,0.515534,1,1,matt_expands;substitution;reordering,11,8,8,5
124,Matt 19:26,Luke 18:27,641,820,0.280469,0.252692,0.351896,0.428184,1,1,matt_expands;substitution;reordering,16,12,10,6
125,Matt 19:27,Luke 18:28,642,821,0.241079,0.175538,0.409615,0.280469,2,1,matt_expands;substitution,17,11,9,5
126,Matt 19:29,Luke 18:29,644,822,0.260097,0.167172,0.499046,0.049961,1,1,matt_expands;substitution,29,26,16,12
127,Matt 20:18,Luke 18:31,663,824,0.149178,0.110301,0.249147,0.352546,7,3,luke_expands,18,23,9,11
128,Matt 20:19,Luke 18:32,664,825,0.352546,0.390263,0.255561,0.149178,1,1,matt_expands;substitution,17,10,8,5
129,Matt 20:30,Luke 18:38,675,831,0.226175,0.224741,0.229862,0.273019,1,3,matt_expands;substitution;reordering,19,8,13,6
130,Matt 20:31,Luke 18:39,676,832,0.273019,0.252254,0.326415,0.226175,1,1,substitution,17,16,10,9
131,Matt 20:32,Luke 18:41,677,834,0.330996,0.379478,0.206328,0.023405,1,1,reordering,12,10,7,6
132,Matt 20:34,Luke 18:43,679,836,0.182461,0.165684,0.225601,0.023405,1,1,luke_expands;reordering,14,18,7,11
