id,level,pair_count,avg_score,confidence,matt_start_ref,matt_end_ref,luke_start_ref,luke_end_ref,matt_span_verse_count,luke_span_verse_count,unmatched_matt_count,unmatched_luke_count,matt_token_count,luke_token_count,matt_tote,luke_tote,matt_simeron,luke_simeron,matt_kingdom_god,matt_kingdom_heaven,luke_kingdom_god,luke_kingdom_heaven,matt_present_indicative_ratio,luke_present_indicative_ratio
44,micro,1,0.154553,low,Matt 23:19,Matt 23:19,Luke 21:1,Luke 21:1,1,1,0,0,13,12,0,0,0,0,0,0,0,0,0.0,0.0
45,micro,5,0.427865,medium,Matt 24:2,Matt 24:7,Luke 21:6,Luke 21:10,6,5,1,0,113,85,0,1,0,0,0,0,0,0,0.3333,0.2308
46,micro,1,0.476518,medium,Matt 24:9,Matt 24:9,Luke 21:17,Luke 21:17,1,1,0,0,19,9,1,0,0,0,0,0,0,0,0.0,0.0
47,micro,2,0.603615,high,Matt 24:16,Matt 24:19,Luke 21:21,Luke 21:23,4,3,2,1,46,58,1,1,0,0,0,0,0,0,0.0,0.5
48,micro,6,0.571186,high,Matt 24:29,Matt 24:35,Luke 21:26,Luke 21:33,7,8,1,2,157,112,2,1,0,0,0,0,1,0,0.2857,0.5
49,micro,1,0.14724,low,Matt 26:3,Matt 26:3,Luke 22:2,Luke 22:2,1,1,0,0,17,15,1,0,0,0,0,0,0,0,0.0,0.0
50,micro,7,0.288559,low,Matt 26:14,Matt 26:21,Luke 22:3,Luke 22:16,8,14,1,7,117,182,2,0,0,0,0,0,1,0,0.3333,0.1923
51,micro,2,0.346304,low,Matt 26:27,Matt 26:29,Luke 22:17,Luke 22:18,3,2,1,0,57,32,0,0,0,0,0,0,1,0,0.6667,0.5
52,micro,1,0.325672,low,Matt 26:30,Matt 26:30,Luke 22:39,Luke 22:39,1,1,0,0,8,17,0,0,0,0,0,0,0,0,0.0,0.0
53,micro,3,0.232459,low,Matt 26:39,Matt 26:41,Luke 22:42,Luke 22:46,3,5,0,2,66,72,0,0,0,0,0,0,0,0,0.7143,0.2857
54,micro,4,0.297677,low,Matt 26:47,Matt 26:58,Luke 22:47,Luke 22:54,12,8,8,4,228,140,3,0,0,0,0,0,0,0,0.2222,0.1176
55,micro,5,0.289588,low,Matt 26:69,Matt 26:75,Luke 22:56,Luke 22:62,7,7,2,2,116,112,1,0,0,1,0,0,0,0,0.2,0.2
56,micro,1,0.398934,medium,Matt 27:11,Matt 27:11,Luke 23:3,Luke 23:3,1,1,0,0,25,19,0,0,0,0,0,0,0,0,0.4,0.5
57,micro,1,0.225849,low,Matt 27:12,Matt 27:12,Luke 23:9,Luke 23:9,1,1,0,0,12,11,0,0,0,0,0,0,0,0,0.0,0.0
58,micro,3,0.246329,low,Matt 27:17,Matt 27:23,Luke 23:20,Luke 23:22,7,3,4,0,115,37,0,0,1,0,0,0,0,0,0.2667,0.0
59,micro,1,0.142975,low,Matt 27:32,Matt 27:32,Luke 23:26,Luke 23:26,1,1,0,0,14,19,0,0,0,0,0,0,0,0,0.0,0.0
60,micro,3,0.328135,low,Matt 27:33,Matt 27:37,Luke 23:33,Luke 23:37,5,5,2,2,54,87,0,0,0,0,0,0,0,0,0.2857,0.25
61,micro,1,0.551764,high,Matt 27:45,Matt 27:45,Luke 23:44,Luke 23:44,1,1,0,0,13,16,0,0,0,0,0,0,0,0,0.0,0.0
62,micro,8,0.274499,low,Matt 27:51,Matt 28:6,Luke 23:45,Luke 24:6,22,18,14,10,365,258,1,0,0,0,0,0,1,0,0.1087,0.0938
63,micro,1,0.129505,low,Matt 28:8,Matt 28:8,Luke 24:12,Luke 24:12,1,1,0,0,16,21,0,0,0,0,0,0,0,0,0.0,0.3333
64,micro,1,0.122325,low,Matt 28:16,Matt 28:16,Luke 24:28,Luke 24:28,1,1,0,0,16,12,0,0,0,0,0,0,0,0,0.0,0.0
65,micro,1,0.146425,low,Matt 28:19,Matt 28:19,Luke 24:47,Luke 24:47,1,1,0,0,20,17,0,0,0,0,0,0,0,0,0.0,0.0
66,micro,1,0.114821,low,Matt 28:20,Matt 28:20,Luke 24:53,Luke 24:53,1,1,0,0,21,10,0,0,0,0,0,0,0,0,0.5,0.0
