luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,rank,matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,score
Luke 1:18,Luke 1:19,Luke 1:20,8,Matt 10:18,Matt 10:19,Matt 10:20,0.07835
Luke 1:18,Luke 1:19,Luke 1:20,9,Matt 21:40,Matt 21:41,Matt 21:42,0.076886
Luke 1:18,Luke 1:19,Luke 1:20,10,Matt 11:9,Matt 11:10,Matt 11:11,0.076804
Luke 1:19,Luke 1:20,Luke 1:21,1,Matt 26:61,Matt 26:62,Matt 26:63,0.103473
Luke 1:19,Luke 1:20,Luke 1:21,2,Matt 21:41,Matt 21:42,Matt 21:43,0.083771
Luke 1:19,Luke 1:20,Luke 1:21,3,Matt 10:18,Matt 10:19,Matt 10:20,0.077288
Luke 1:19,Luke 1:20,Luke 1:21,4,Matt 21:30,Matt 21:31,Matt 21:32,0.074807
Luke 1:19,Luke 1:20,Luke 1:21,5,Matt 28:3,Matt 28:4,Matt 28:5,0.07349
Luke 1:19,Luke 1:20,Luke 1:21,6,Matt 28:4,Matt 28:5,Matt 28:6,0.073488
Luke 1:19,Luke 1:20,Luke 1:21,7,Matt 21:32,Matt 21:33,Matt 21:34,0.073464
Luke 1:19,Luke 1:20,Luke 1:21,8,Matt 21:40,Matt 21:41,Matt 21:42,0.073135
Luke 1:19,Luke 1:20,Luke 1:21,9,Matt 21:42,Matt 21:43,Matt 21:44,0.072755
Luke 1:19,Luke 1:20,Luke 1:21,10,Matt 28:5,Matt 28:6,Matt 28:7,0.072193
Luke 1:20,Luke 1:21,Luke 1:22,1,Matt 23:15,Matt 23:16,Matt 23:17,0.08506
Luke 1:20,Luke 1:21,Luke 1:22,2,Matt 23:16,Matt 23:17,Matt 23:18,0.084228
Luke 1:20,Luke 1:21,Luke 1:22,3,Matt 27:40,Matt 27:41,Matt 27:42,0.082426
Luke 1:20,Luke 1:21,Luke 1:22,4,Matt 9:31,Matt 9:32,Matt 9:33,0.081777
Luke 1:20,Luke 1:21,Luke 1:22,5,Matt 26:61,Matt 26:62,Matt 26:63,0.081342
Luke 1:20,Luke 1:21,Luke 1:22,6,Matt 12:22,Matt 12:23,Matt 12:24,0.079267
Luke 1:20,Luke 1:21,Luke 1:22,7,Matt 9:32,Matt 9:33,Matt 9:34,0.073802
Luke 1:20,Luke 1:21,Luke 1:22,8,Matt 10:26,Matt 10:27,Matt 10:28,0.07234
Luke 1:20,Luke 1:21,Luke 1:22,9,Matt 10:18,Matt 10:19,Matt 10:20,0.071432
Luke 1:20,Luke 1:21,Luke 1:22,10,Matt 12:21,Matt 12:22,Matt 12:23,0.065379
Luke 1:21,Luke 1:22,Luke 1:23,1,Matt 23:15,Matt 23:16,Matt 23:17,0.094682
Luke 1:21,Luke 1:22,Luke 1:23,2,Matt 23:16,Matt 23:17,Matt 23:18,0.09185
Luke 1:21,Luke 1:22,Luke 1:23,3,Matt 9:31,Matt 9:32,Matt 9:33,0.090393
Luke 1:21,Luke 1:22,Luke 1:23,4,Matt 9:32,Matt 9:33,Matt 9:34,0.081612
Luke 1:21,Luke 1:22,Luke 1:23,5,Matt 27:40,Matt 27:41,Matt 27:42,0.073536
Luke 1:21,Luke 1:22,Luke 1:23,6,Matt 23:13,Matt 23:15,Matt 23:16,0.070253
Luke 1:21,Luke 1:22,Luke 1:23,7,Matt 9:6,Matt 9:7,Matt 9:8,0.070064
Luke 1:21,Luke 1:22,Luke 1:23,8,Matt 12:21,Matt 12:22,Matt 12:23,0.067764
