luke_center_ref,matt_center_ref,luke_window_refs,matt_window_refs,rank,window_score
Luke 1:15,Matt 18:4,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 18:1 | Matt 18:4 | Matt 18:7,7,0.074402
Luke 1:15,Matt 23:39,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 23:38 | Matt 23:39 | Matt 24:1,8,0.068431
Luke 1:15,Matt 5:35,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 5:34 | Matt 5:35 | Matt 5:36,9,0.067464
Luke 1:15,Matt 1:20,Luke 1:14 | Luke 1:15 | Luke 1:16,Matt 1:19 | Matt 1:20 | Matt 1:21,10,0.062044
Luke 1:16,Matt 27:9,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 27:8 | Matt 27:9 | Matt 27:10,1,0.132924
Luke 1:16,Matt 4:7,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 4:6 | Matt 4:7 | Matt 4:8,2,0.131595
Luke 1:16,Matt 4:10,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 4:9 | Matt 4:10 | Matt 4:11,3,0.111310
Luke 1:16,Matt 24:11,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 24:10 | Matt 24:11 | Matt 24:12,4,0.093785
Luke 1:16,Matt 27:43,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 27:36 | Matt 27:43 | Matt 27:44,5,0.080705
Luke 1:16,Matt 10:23,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 10:16 | Matt 10:23 | Matt 10:24,6,0.069351
Luke 1:16,Matt 25:19,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 25:18 | Matt 25:19 | Matt 25:20,7,0.067694
Luke 1:16,Matt 2:21,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 2:20 | Matt 2:21 | Matt 2:22,8,0.065848
Luke 1:16,Matt 10:6,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 10:5 | Matt 10:6 | Matt 10:7,9,0.065576
Luke 1:16,Matt 5:9,Luke 1:15 | Luke 1:16 | Luke 1:17,Matt 5:8 | Matt 5:9 | Matt 5:10,10,0.064602
Luke 1:17,Matt 13:15,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 13:10 | Matt 13:15 | Matt 13:16,1,0.071083
Luke 1:17,Matt 27:25,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 27:24 | Matt 27:25 | Matt 27:28,2,0.070079
Luke 1:17,Matt 22:43,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 22:41 | Matt 22:43 | Matt 22:45,3,0.056683
Luke 1:17,Matt 10:41,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 10:36 | Matt 10:41 | Matt 11:1,4,0.053529
Luke 1:17,Matt 13:43,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 13:42 | Matt 13:43 | Matt 13:44,5,0.046237
Luke 1:17,Matt 18:25,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 18:24 | Matt 18:25 | Matt 18:26,6,0.046227
Luke 1:17,Matt 24:48,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 24:47 | Matt 24:48 | Matt 24:49,7,0.045528
Luke 1:17,Matt 5:45,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 5:44 | Matt 5:45 | Matt 5:46,8,0.045033
Luke 1:17,Matt 21:28,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 21:20 | Matt 21:28 | Matt 21:29,9,0.044997
Luke 1:17,Matt 11:14,Luke 1:16 | Luke 1:17 | Luke 1:18,Matt 11:13 | Matt 11:14 | Matt 11:16,10,0.042387
Luke 1:18,Matt 28:5,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 28:4 | Matt 28:5 | Matt 28:8,1,0.075180
Luke 1:18,Matt 1:24,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 1:23 | Matt 1:24 | Matt 1:25,2,0.066472
Luke 1:18,Matt 12:23,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 12:22 | Matt 12:23 | Matt 12:28,3,0.064109
Luke 1:18,Matt 18:4,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 18:1 | Matt 18:4 | Matt 18:7,4,0.062735
Luke 1:18,Matt 23:30,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 23:29 | Matt 23:30 | Matt 23:31,5,0.062288
Luke 1:18,Matt 22:38,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 22:36 | Matt 22:38 | Matt 22:40,6,0.061699
Luke 1:18,Matt 1:20,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 1:19 | Matt 1:20 | Matt 1:21,7,0.061575
Luke 1:18,Matt 22:18,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 22:15 | Matt 22:18 | Matt 22:19,8,0.061073
Luke 1:18,Matt 21:11,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 21:10 | Matt 21:11 | Matt 21:14,9,0.055365
Luke 1:18,Matt 24:38,Luke 1:17 | Luke 1:18 | Luke 1:19,Matt 24:37 | Matt 24:38 | Matt 24:39,10,0.053309
Luke 1:19,Matt 28:5,Luke 1:18 | Luke 1:19 | Luke 1:20,Matt 28:4 | Matt 28:5 | Matt 28:8,1,0.178723
Luke 1:19,Matt 26:25,Luke 1:18 | Luke 1:19 | Luke 1:20,Matt 26:18 | Matt 26:25 | Matt 26:42,2,0.095931
Luke 1:19,Matt 26:53,Luke 1:18 | Luke 1:19 | Luke 1:20,Matt 26:52 | Matt 26:53 | Matt 26:54,3,0.081351
Luke 1:19,Matt 11:3,Luke 1:18 | Luke 1:19 | Luke 1:20,Matt 11:2 | Matt 11:3 | Matt 11:4,4,0.070940
Luke 1:19,Matt 22:1,Luke 1:18 | Luke 1:19 | Luke 1:20,Matt 21:45 | Matt 22:1 | Matt 22:2,5,0.069594
