pericope_id,unit_type,pair,block_id,block_label,matthew_range,mark_range,luke_range,john_range,pair_count,avg_score,evidence_origin,methodological_status,representative_primary_pairs,shared_features
Mark_Matthew_block_15,computational_synoptic_block,Mark↔Matthew,15,Mark Mark 8:2–Mark 8:20 / Matt Matt 15:32–Matt 16:10,Matt 15:32–Matt 16:10,Mark 8:2–Mark 8:20,,,15,0.341707,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 8:2~Matt 15:32; Mark 8:4~Matt 15:33; Mark 8:5~Matt 15:34; Mark 8:6~Matt 15:36; Mark 8:8~Matt 15:37,
Mark_Matthew_block_16,computational_synoptic_block,Mark↔Matthew,16,Mark Mark 8:27–Mark 9:19 / Matt Matt 16:13–Matt 17:17,Matt 16:13–Matt 17:17,Mark 8:27–Mark 9:19,,,25,0.450842,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 8:27~Matt 16:13; Mark 8:28~Matt 16:14; Mark 8:29~Matt 16:16; Mark 8:30~Matt 16:20; Mark 8:31~Matt 16:21,
Mark_Matthew_block_17,computational_synoptic_block,Mark↔Matthew,17,Mark Mark 9:42–Mark 9:47 / Matt Matt 18:6–Matt 18:9,Matt 18:6–Matt 18:9,Mark 9:42–Mark 9:47,,,3,0.509813,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 9:42~Matt 18:6; Mark 9:45~Matt 18:8; Mark 9:47~Matt 18:9,
Mark_Matthew_block_18,computational_synoptic_block,Mark↔Matthew,18,Mark Mark 10:6–Mark 10:31 / Matt Matt 19:4–Matt 19:30,Matt 19:4–Matt 19:30,Mark 10:6–Mark 10:31,,,20,0.461435,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 10:6~Matt 19:4; Mark 10:7~Matt 19:5; Mark 10:9~Matt 19:6; Mark 10:11~Matt 19:9; Mark 10:13~Matt 19:13,
Mark_Matthew_block_19,computational_synoptic_block,Mark↔Matthew,19,Mark Mark 10:32–Mark 11:17 / Matt Matt 20:17–Matt 21:13,Matt 20:17–Matt 21:13,Mark 10:32–Mark 11:17,,,28,0.453304,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 10:32~Matt 20:17; Mark 10:33~Matt 20:18; Mark 10:34~Matt 20:19; Mark 10:35~Matt 20:20; Mark 10:37~Matt 20:21,
Mark_Matthew_block_2,computational_synoptic_block,Mark↔Matthew,2,Mark Mark 1:8–Mark 1:13 / Matt Matt 3:11–Matt 4:2,Matt 3:11–Matt 4:2,Mark 1:8–Mark 1:13,,,6,0.348189,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 1:8~Matt 3:11; Mark 1:9~Matt 3:13; Mark 1:10~Matt 3:16; Mark 1:11~Matt 3:17; Mark 1:12~Matt 4:1,
Mark_Matthew_block_20,computational_synoptic_block,Mark↔Matthew,20,Mark Mark 11:21–Mark 12:10 / Matt Matt 21:20–Matt 21:42,Matt 21:20–Matt 21:42,Mark 11:21–Mark 12:10,,,17,0.468388,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 11:21~Matt 21:20; Mark 11:23~Matt 21:21; Mark 11:24~Matt 21:22; Mark 11:28~Matt 21:23; Mark 11:29~Matt 21:24,
Mark_Matthew_block_21,computational_synoptic_block,Mark↔Matthew,21,Mark Mark 12:13–Mark 12:37 / Matt Matt 22:15–Matt 22:45,Matt 22:15–Matt 22:45,Mark 12:13–Mark 12:37,,,20,0.411023,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 12:13~Matt 22:15; Mark 12:14~Matt 22:16; Mark 12:15~Matt 22:18; Mark 12:16~Matt 22:20; Mark 12:17~Matt 22:21,
Mark_Matthew_block_22,computational_synoptic_block,Mark↔Matthew,22,Mark Mark 13:1–Mark 13:32 / Matt Matt 24:1–Matt 24:36,Matt 24:1–Matt 24:36,Mark 13:1–Mark 13:32,,,27,0.629637,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 13:1~Matt 24:1; Mark 13:2~Matt 24:2; Mark 13:4~Matt 24:3; Mark 13:5~Matt 24:4; Mark 13:6~Matt 24:5,
Mark_Matthew_block_23,computational_synoptic_block,Mark↔Matthew,23,Mark Mark 14:1–Mark 15:1 / Matt Matt 26:4–Matt 27:1,Matt 26:4–Matt 27:1,Mark 14:1–Mark 15:1,,,64,0.449605,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:1~Matt 26:4; Mark 14:2~Matt 26:5; Mark 14:3~Matt 26:6; Mark 14:4~Matt 26:8; Mark 14:5~Matt 26:9,
Mark_Matthew_block_24,computational_synoptic_block,Mark↔Matthew,24,Mark Mark 15:2–Mark 15:47 / Matt Matt 27:11–Matt 27:61,Matt 27:11–Matt 27:61,Mark 15:2–Mark 15:47,,,37,0.363253,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 15:2~Matt 27:11; Mark 15:3~Matt 27:12; Mark 15:4~Matt 27:13; Mark 15:5~Matt 27:14; Mark 15:6~Matt 27:15,
