source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score
Mark,Mark 12:17,471,Luke,Luke 18:42,836,9,5,0.0708,0.1667,0.1667,0.0,0.0,0.0829,0,0.0,0,,2,αυτω ιησουσ,main_text,0.2222,0.1818,0.0,2,0.4,2,ιησουσ λεγω,2,ιησουσ λεγω,0.2349,0.1641
Mark,Mark 11:6,428,Luke,Luke 6:3,256,6,14,0.0482,0.1111,0.1111,0.0,0.0,0.0748,0,0.0,0,,2,αυτουσ ιησουσ,main_text,0.2,0.1818,0.0,2,0.5,2,λεγω ιησουσ,2,ιησουσ λεγω,0.2349,0.1867
Mark,Mark 10:26,396,Luke,Luke 13:23,648,8,7,0.0666,0.1538,0.1538,0.0,0.0,0.1011,0,0.0,0,,2,προσ τισ,main_text,0.2857,0.0,0.0,2,0.4,1,λεγω,2,λεγω σωζω,0.2343,0.1677
Mark,Mark 9:31,353,Luke,Luke 6:5,258,15,6,0.2037,0.1667,0.1765,0.1053,0.0,0.1243,3,0.5,2,υιοσ ανθρωπου,3,ανθρωπου αυτοισ υιοσ,main_text,0.2143,0.1176,0.0,3,0.5,2,υιοσ ανθρωποσ,3,ανθρωποσ λεγω υιοσ,0.2342,0.0305
Mark,Mark 3:11,84,Luke,Luke 4:3,173,9,8,0.057,0.1333,0.1333,0.0,0.0,0.0735,0,0.0,0,,2,αυτω υιοσ,main_text,0.3077,0.0,0.0,3,0.3333,1,λεγω,4,ειμι θεοσ λεγω υιοσ,0.2342,0.1772
Mark,Mark 10:51,421,Luke,Luke 6:3,256,9,14,0.0435,0.1,0.1,0.0,0.0,0.0699,0,0.0,0,,2,αποκριθεισ ιησουσ,main_text,0.3077,0.0,0.0,3,0.3333,1,αποκρινομαι,4,αποκρινομαι ιησουσ λεγω ποιεω,0.2342,0.1907
Mark,Mark 15:43,649,Luke,Luke 23:51,1091,16,10,0.113,0.1304,0.1304,0.0,0.0,0.117,3,0.3,1,αριμαθαιασ,3,αριμαθαιασ βασιλειαν οσ,main_text,0.2273,0.16,0.087,4,0.3636,3,προσδεχομαι βασιλεια θεοσ,5,αριμαθαια βασιλεια ειμι θεοσ προσδεχομαι,0.2341,0.1211
Mark,Mark 8:30,314,Luke,Luke 9:55,463,4,3,0.4221,0.4,0.4,0.4,0.0,0.3093,2,0.6667,2,επετιμησεν αυτοισ,2,αυτοισ επετιμησεν,main_text,0.25,0.0,0.0,1,0.5,1,επιτιμαω,1,επιτιμαω,0.2333,-0.1888
Mark,Mark 1:18,18,Luke,Luke 5:11,225,5,6,0.3403,0.375,0.375,0.2222,0.0,0.3169,3,0.6,2,ηκολουθησαν αυτω,3,αυτω αφεντεσ ηκολουθησαν,main_text,0.25,0.0,0.0,2,0.5,1,αφιημι,2,ακολουθεω αφιημι,0.2333,-0.107
Mark,Mark 16:13,666,Luke,Luke 24:9,1105,8,9,0.211,0.2308,0.2308,0.1333,0.0,0.2146,3,0.375,2,τοισ λοιποισ,3,απηγγειλαν λοιποισ τοισ,secondary_long_ending,0.25,0.0,0.0,2,0.5,1,απαγγελλω,2,απαγγελλω λοιποσ,0.2333,0.0223
Mark,Mark 7:12,260,Luke,Luke 20:40,925,6,4,0.2102,0.25,0.25,0.0,0.0,0.2037,2,0.5,1,ουκετι,2,ουδεν ουκετι,main_text,0.25,0.0,0.0,2,0.5,1,ουκετι,2,ουδεισ ουκετι,0.2333,0.0231
