rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
29	Mark 2:18	Matt 9:14	0.489204	3	insert		λεγοντεσ δια τι ημεισ
29	Mark 2:18	Matt 9:14	0.489204	4	equal	και οι φαρισαιοι	και οι φαρισαιοι
29	Mark 2:18	Matt 9:14	0.489204	5	replace	νηστευοντεσ και ερχονται και λεγουσιν αυτω δια τι οι μαθηται ιωαννου και οι μαθηται των φαρισαιων νηστευουσιν	νηστευομεν πολλα
29	Mark 2:18	Matt 9:14	0.489204	6	equal	οι δε	οι δε
29	Mark 2:18	Matt 9:14	0.489204	7	delete	σοι	
29	Mark 2:18	Matt 9:14	0.489204	8	equal	μαθηται	μαθηται
29	Mark 2:18	Matt 9:14	0.489204	9	insert		σου
29	Mark 2:18	Matt 9:14	0.489204	10	equal	ου νηστευουσιν	ου νηστευουσιν
30	Mark 2:20	Matt 9:15	0.564486	1	insert		και ειπεν αυτοισ ο ιησουσ μη δυνανται οι υιοι του νυμφωνοσ πενθειν εφ οσον μετ αυτων εστιν ο νυμφιοσ
30	Mark 2:20	Matt 9:15	0.564486	2	equal	ελευσονται δε ημεραι οταν απαρθη απ αυτων ο νυμφιοσ και τοτε νηστευσουσιν	ελευσονται δε ημεραι οταν απαρθη απ αυτων ο νυμφιοσ και τοτε νηστευσουσιν
30	Mark 2:20	Matt 9:15	0.564486	3	delete	εν εκεινη τη ημερα	
31	Mark 2:21	Matt 9:16	0.607166	1	equal	ουδεισ	ουδεισ
31	Mark 2:21	Matt 9:16	0.607166	2	insert		δε επιβαλλει
31	Mark 2:21	Matt 9:16	0.607166	3	equal	επιβλημα ρακουσ αγναφου	επιβλημα ρακουσ αγναφου
31	Mark 2:21	Matt 9:16	0.607166	4	delete	επιραπτει	
31	Mark 2:21	Matt 9:16	0.607166	5	equal	επι	επι
31	Mark 2:21	Matt 9:16	0.607166	6	replace	ιματιον παλαιον ει δε μη	ιματιω παλαιω
31	Mark 2:21	Matt 9:16	0.607166	7	equal	αιρει	αιρει
31	Mark 2:21	Matt 9:16	0.607166	8	insert		γαρ
31	Mark 2:21	Matt 9:16	0.607166	9	equal	το πληρωμα	το πληρωμα
31	Mark 2:21	Matt 9:16	0.607166	10	delete	απ	
31	Mark 2:21	Matt 9:16	0.607166	11	equal	αυτου	αυτου
31	Mark 2:21	Matt 9:16	0.607166	12	replace	το καινον	απο
31	Mark 2:21	Matt 9:16	0.607166	13	equal	του	του
31	Mark 2:21	Matt 9:16	0.607166	14	replace	παλαιου	ιματιου
31	Mark 2:21	Matt 9:16	0.607166	15	equal	και χειρον σχισμα γινεται	και χειρον σχισμα γινεται
32	Mark 2:22	Matt 9:17	0.655731	1	replace	και ουδεισ βαλλει	ουδε βαλλουσιν
32	Mark 2:22	Matt 9:17	0.655731	2	equal	οινον νεον εισ ασκουσ παλαιουσ ει δε μη	οινον νεον εισ ασκουσ παλαιουσ ει δε μη
32	Mark 2:22	Matt 9:17	0.655731	3	replace	ρηξει ο οινοσ τουσ ασκουσ	γε ρηγνυνται οι ασκοι
