source_ref,target_ref,rank,score
Matt 1:22,Mark 6:15,7,0.14753717184066772
Matt 1:22,Mark 10:51,8,0.14558368921279907
Matt 1:22,Mark 7:29,9,0.14264307916164398
Matt 1:22,Mark 6:14,10,0.13975270092487335
Matt 1:22,Mark 14:9,11,0.13923966884613037
Matt 1:22,Mark 8:28,12,0.13848569989204407
Matt 1:22,Mark 14:4,13,0.13755029439926147
Matt 1:22,Mark 11:6,14,0.1343054473400116
Matt 1:22,Mark 12:44,15,0.13242489099502563
Matt 1:22,Mark 3:9,16,0.13167321681976318
Matt 1:22,Mark 2:10,17,0.13083034753799438
Matt 1:22,Mark 12:16,18,0.12864626944065094
Matt 1:22,Mark 14:55,19,0.1269386112689972
Matt 1:22,Mark 12:15,20,0.12629078328609467
Matt 1:23,Mark 15:22,1,0.18729379773139954
Matt 1:23,Mark 5:41,2,0.18360891938209534
Matt 1:23,Mark 15:34,3,0.17889602482318878
Matt 1:23,Mark 3:17,4,0.17373958230018616
Matt 1:23,Mark 13:17,5,0.1699266880750656
Matt 1:23,Mark 2:19,6,0.16056832671165466
Matt 1:23,Mark 6:14,7,0.15810450911521912
Matt 1:23,Mark 13:13,8,0.15664617717266083
Matt 1:23,Mark 14:32,9,0.15195214748382568
Matt 1:23,Mark 4:36,10,0.14812465012073517
Matt 1:23,Mark 3:35,11,0.14737927913665771
Matt 1:23,Mark 1:20,12,0.14640483260154724
Matt 1:23,Mark 14:62,13,0.14041920006275177
Matt 1:23,Mark 9:7,14,0.13989141583442688
Matt 1:23,Mark 13:26,15,0.1386955827474594
Matt 1:23,Mark 6:3,16,0.13711561262607574
Matt 1:23,Mark 3:11,17,0.13708868622779846
Matt 1:23,Mark 5:18,18,0.13646367192268372
Matt 1:23,Mark 1:11,19,0.13523109257221222
Matt 1:23,Mark 12:29,20,0.13514204323291779
Matt 1:24,Mark 15:45,1,0.18409208953380585
Matt 1:24,Mark 10:7,2,0.17743930220603943
Matt 1:24,Mark 9:27,3,0.17446009814739227
Matt 1:24,Mark 10:11,4,0.16968044638633728
Matt 1:24,Mark 10:6,5,0.1679033488035202
Matt 1:24,Mark 4:36,6,0.16680407524108887
Matt 1:24,Mark 9:21,7,0.16234923899173737
Matt 1:24,Mark 10:51,8,0.15339608490467072
Matt 1:24,Mark 7:17,9,0.1528654545545578
Matt 1:24,Mark 6:17,10,0.14989854395389557
Matt 1:24,Mark 5:40,11,0.14417636394500732
Matt 1:24,Mark 6:18,12,0.1440773457288742
Matt 1:24,Mark 7:28,13,0.14252111315727234
Matt 1:24,Mark 8:9,14,0.1399628072977066
Matt 1:24,Mark 5:33,15,0.13988299667835236
Matt 1:24,Mark 1:25,16,0.13799552619457245
Matt 1:24,Mark 15:43,17,0.13643664121627808
