mark_start_ref,mark_end_ref,matt_start_ref,matt_end_ref,rank,window_score,mark_refs,matt_refs
Mark 1:22,Mark 1:24,Matt 7:28,Matt 8:1,1,0.279244,Mark 1:22 | Mark 1:23 | Mark 1:24,Matt 7:28 | Matt 7:29 | Matt 8:1
Mark 1:22,Mark 1:24,Matt 7:27,Matt 7:29,2,0.231334,Mark 1:22 | Mark 1:23 | Mark 1:24,Matt 7:27 | Matt 7:28 | Matt 7:29
Mark 1:22,Mark 1:24,Matt 7:29,Matt 8:2,3,0.199791,Mark 1:22 | Mark 1:23 | Mark 1:24,Matt 7:29 | Matt 8:1 | Matt 8:2
Mark 1:29,Mark 1:31,Matt 8:13,Matt 8:15,1,0.244246,Mark 1:29 | Mark 1:30 | Mark 1:31,Matt 8:13 | Matt 8:14 | Matt 8:15
Mark 1:29,Mark 1:31,Matt 8:14,Matt 8:16,2,0.219439,Mark 1:29 | Mark 1:30 | Mark 1:31,Matt 8:14 | Matt 8:15 | Matt 8:16
Mark 1:30,Mark 1:32,Matt 8:14,Matt 8:16,1,0.319858,Mark 1:30 | Mark 1:31 | Mark 1:32,Matt 8:14 | Matt 8:15 | Matt 8:16
Mark 1:30,Mark 1:32,Matt 8:15,Matt 8:17,2,0.253697,Mark 1:30 | Mark 1:31 | Mark 1:32,Matt 8:15 | Matt 8:16 | Matt 8:17
Mark 1:30,Mark 1:32,Matt 8:13,Matt 8:15,3,0.191523,Mark 1:30 | Mark 1:31 | Mark 1:32,Matt 8:13 | Matt 8:14 | Matt 8:15
Mark 1:31,Mark 1:33,Matt 8:14,Matt 8:16,1,0.261403,Mark 1:31 | Mark 1:32 | Mark 1:33,Matt 8:14 | Matt 8:15 | Matt 8:16
Mark 1:31,Mark 1:33,Matt 8:15,Matt 8:17,2,0.255213,Mark 1:31 | Mark 1:32 | Mark 1:33,Matt 8:15 | Matt 8:16 | Matt 8:17
Mark 1:32,Mark 1:34,Matt 8:15,Matt 8:17,1,0.198547,Mark 1:32 | Mark 1:33 | Mark 1:34,Matt 8:15 | Matt 8:16 | Matt 8:17
Mark 1:32,Mark 1:34,Matt 8:16,Matt 8:18,2,0.188423,Mark 1:32 | Mark 1:33 | Mark 1:34,Matt 8:16 | Matt 8:17 | Matt 8:18
Mark 1:32,Mark 1:34,Matt 8:14,Matt 8:16,3,0.176438,Mark 1:32 | Mark 1:33 | Mark 1:34,Matt 8:14 | Matt 8:15 | Matt 8:16
Mark 1:39,Mark 1:41,Matt 8:1,Matt 8:3,1,0.31486,Mark 1:39 | Mark 1:40 | Mark 1:41,Matt 8:1 | Matt 8:2 | Matt 8:3
Mark 1:39,Mark 1:41,Matt 8:2,Matt 8:4,2,0.256233,Mark 1:39 | Mark 1:40 | Mark 1:41,Matt 8:2 | Matt 8:3 | Matt 8:4
Mark 1:39,Mark 1:41,Matt 8:3,Matt 8:5,3,0.179632,Mark 1:39 | Mark 1:40 | Mark 1:41,Matt 8:3 | Matt 8:4 | Matt 8:5
Mark 1:40,Mark 1:42,Matt 8:1,Matt 8:3,1,0.392958,Mark 1:40 | Mark 1:41 | Mark 1:42,Matt 8:1 | Matt 8:2 | Matt 8:3
Mark 1:40,Mark 1:42,Matt 8:2,Matt 8:4,2,0.31147,Mark 1:40 | Mark 1:41 | Mark 1:42,Matt 8:2 | Matt 8:3 | Matt 8:4
Mark 1:40,Mark 1:42,Matt 8:3,Matt 8:5,3,0.227968,Mark 1:40 | Mark 1:41 | Mark 1:42,Matt 8:3 | Matt 8:4 | Matt 8:5
Mark 1:40,Mark 1:42,Matt 7:29,Matt 8:2,4,0.160827,Mark 1:40 | Mark 1:41 | Mark 1:42,Matt 7:29 | Matt 8:1 | Matt 8:2
Mark 1:41,Mark 1:43,Matt 8:1,Matt 8:3,1,0.290379,Mark 1:41 | Mark 1:42 | Mark 1:43,Matt 8:1 | Matt 8:2 | Matt 8:3
Mark 1:41,Mark 1:43,Matt 8:3,Matt 8:5,2,0.233591,Mark 1:41 | Mark 1:42 | Mark 1:43,Matt 8:3 | Matt 8:4 | Matt 8:5
Mark 1:41,Mark 1:43,Matt 8:2,Matt 8:4,3,0.225968,Mark 1:41 | Mark 1:42 | Mark 1:43,Matt 8:2 | Matt 8:3 | Matt 8:4
Mark 1:42,Mark 1:44,Matt 8:3,Matt 8:5,1,0.38804,Mark 1:42 | Mark 1:43 | Mark 1:44,Matt 8:3 | Matt 8:4 | Matt 8:5
Mark 1:42,Mark 1:44,Matt 8:2,Matt 8:4,2,0.378718,Mark 1:42 | Mark 1:43 | Mark 1:44,Matt 8:2 | Matt 8:3 | Matt 8:4
Mark 1:42,Mark 1:44,Matt 8:4,Matt 8:6,3,0.330061,Mark 1:42 | Mark 1:43 | Mark 1:44,Matt 8:4 | Matt 8:5 | Matt 8:6
Mark 1:43,Mark 1:45,Matt 8:4,Matt 8:6,1,0.261761,Mark 1:43 | Mark 1:44 | Mark 1:45,Matt 8:4 | Matt 8:5 | Matt 8:6
Mark 1:43,Mark 1:45,Matt 8:3,Matt 8:5,2,0.260217,Mark 1:43 | Mark 1:44 | Mark 1:45,Matt 8:3 | Matt 8:4 | Matt 8:5
Mark 1:43,Mark 1:45,Matt 8:2,Matt 8:4,3,0.246447,Mark 1:43 | Mark 1:44 | Mark 1:45,Matt 8:2 | Matt 8:3 | Matt 8:4
Mark 1:44,Mark 2:1,Matt 8:4,Matt 8:6,1,0.270221,Mark 1:44 | Mark 1:45 | Mark 2:1,Matt 8:4 | Matt 8:5 | Matt 8:6
Mark 1:44,Mark 2:1,Matt 8:3,Matt 8:5,2,0.268758,Mark 1:44 | Mark 1:45 | Mark 2:1,Matt 8:3 | Matt 8:4 | Matt 8:5
Mark 1:44,Mark 2:1,Matt 8:2,Matt 8:4,3,0.233773,Mark 1:44 | Mark 1:45 | Mark 2:1,Matt 8:2 | Matt 8:3 | Matt 8:4
Mark 2:3,Mark 2:5,Matt 9:1,Matt 9:3,1,0.248168,Mark 2:3 | Mark 2:4 | Mark 2:5,Matt 9:1 | Matt 9:2 | Matt 9:3
Mark 2:3,Mark 2:5,Matt 8:34,Matt 9:2,2,0.226694,Mark 2:3 | Mark 2:4 | Mark 2:5,Matt 8:34 | Matt 9:1 | Matt 9:2
Mark 2:3,Mark 2:5,Matt 9:2,Matt 9:4,3,0.223859,Mark 2:3 | Mark 2:4 | Mark 2:5,Matt 9:2 | Matt 9:3 | Matt 9:4
Mark 2:4,Mark 2:6,Matt 9:2,Matt 9:4,1,0.27505,Mark 2:4 | Mark 2:5 | Mark 2:6,Matt 9:2 | Matt 9:3 | Matt 9:4
Mark 2:4,Mark 2:6,Matt 9:1,Matt 9:3,2,0.256299,Mark 2:4 | Mark 2:5 | Mark 2:6,Matt 9:1 | Matt 9:2 | Matt 9:3
Mark 2:4,Mark 2:6,Matt 8:34,Matt 9:2,3,0.213639,Mark 2:4 | Mark 2:5 | Mark 2:6,Matt 8:34 | Matt 9:1 | Matt 9:2
Mark 2:5,Mark 2:7,Matt 9:2,Matt 9:4,1,0.304928,Mark 2:5 | Mark 2:6 | Mark 2:7,Matt 9:2 | Matt 9:3 | Matt 9:4
Mark 2:5,Mark 2:7,Matt 9:1,Matt 9:3,2,0.292306,Mark 2:5 | Mark 2:6 | Mark 2:7,Matt 9:1 | Matt 9:2 | Matt 9:3
Mark 2:5,Mark 2:7,Matt 8:34,Matt 9:2,3,0.209805,Mark 2:5 | Mark 2:6 | Mark 2:7,Matt 8:34 | Matt 9:1 | Matt 9:2
Mark 2:5,Mark 2:7,Matt 9:3,Matt 9:5,4,0.186396,Mark 2:5 | Mark 2:6 | Mark 2:7,Matt 9:3 | Matt 9:4 | Matt 9:5
Mark 2:7,Mark 2:9,Matt 9:3,Matt 9:5,1,0.302238,Mark 2:7 | Mark 2:8 | Mark 2:9,Matt 9:3 | Matt 9:4 | Matt 9:5
Mark 2:7,Mark 2:9,Matt 9:4,Matt 9:6,2,0.260077,Mark 2:7 | Mark 2:8 | Mark 2:9,Matt 9:4 | Matt 9:5 | Matt 9:6
Mark 2:7,Mark 2:9,Matt 9:5,Matt 9:7,3,0.236609,Mark 2:7 | Mark 2:8 | Mark 2:9,Matt 9:5 | Matt 9:6 | Matt 9:7
Mark 2:8,Mark 2:10,Matt 9:5,Matt 9:7,1,0.491135,Mark 2:8 | Mark 2:9 | Mark 2:10,Matt 9:5 | Matt 9:6 | Matt 9:7
Mark 2:8,Mark 2:10,Matt 9:4,Matt 9:6,2,0.48273,Mark 2:8 | Mark 2:9 | Mark 2:10,Matt 9:4 | Matt 9:5 | Matt 9:6
Mark 2:8,Mark 2:10,Matt 9:6,Matt 9:8,3,0.297001,Mark 2:8 | Mark 2:9 | Mark 2:10,Matt 9:6 | Matt 9:7 | Matt 9:8
Mark 2:8,Mark 2:10,Matt 9:3,Matt 9:5,4,0.269459,Mark 2:8 | Mark 2:9 | Mark 2:10,Matt 9:3 | Matt 9:4 | Matt 9:5
Mark 2:9,Mark 2:11,Matt 9:5,Matt 9:7,1,0.705062,Mark 2:9 | Mark 2:10 | Mark 2:11,Matt 9:5 | Matt 9:6 | Matt 9:7
Mark 2:9,Mark 2:11,Matt 9:4,Matt 9:6,2,0.569125,Mark 2:9 | Mark 2:10 | Mark 2:11,Matt 9:4 | Matt 9:5 | Matt 9:6
Mark 2:9,Mark 2:11,Matt 9:6,Matt 9:8,3,0.440111,Mark 2:9 | Mark 2:10 | Mark 2:11,Matt 9:6 | Matt 9:7 | Matt 9:8
Mark 2:9,Mark 2:11,Matt 9:3,Matt 9:5,4,0.230164,Mark 2:9 | Mark 2:10 | Mark 2:11,Matt 9:3 | Matt 9:4 | Matt 9:5
Mark 2:10,Mark 2:12,Matt 9:6,Matt 9:8,1,0.474529,Mark 2:10 | Mark 2:11 | Mark 2:12,Matt 9:6 | Matt 9:7 | Matt 9:8
Mark 2:10,Mark 2:12,Matt 9:5,Matt 9:7,2,0.420594,Mark 2:10 | Mark 2:11 | Mark 2:12,Matt 9:5 | Matt 9:6 | Matt 9:7
Mark 2:10,Mark 2:12,Matt 9:4,Matt 9:6,3,0.362079,Mark 2:10 | Mark 2:11 | Mark 2:12,Matt 9:4 | Matt 9:5 | Matt 9:6
Mark 2:11,Mark 2:13,Matt 9:6,Matt 9:8,1,0.20702,Mark 2:11 | Mark 2:12 | Mark 2:13,Matt 9:6 | Matt 9:7 | Matt 9:8
Mark 2:12,Mark 2:14,Matt 9:7,Matt 9:9,1,0.264989,Mark 2:12 | Mark 2:13 | Mark 2:14,Matt 9:7 | Matt 9:8 | Matt 9:9
Mark 2:12,Mark 2:14,Matt 9:8,Matt 9:10,2,0.217598,Mark 2:12 | Mark 2:13 | Mark 2:14,Matt 9:8 | Matt 9:9 | Matt 9:10
Mark 2:12,Mark 2:14,Matt 9:9,Matt 9:11,3,0.16285,Mark 2:12 | Mark 2:13 | Mark 2:14,Matt 9:9 | Matt 9:10 | Matt 9:11
Mark 2:13,Mark 2:15,Matt 9:8,Matt 9:10,1,0.407043,Mark 2:13 | Mark 2:14 | Mark 2:15,Matt 9:8 | Matt 9:9 | Matt 9:10
Mark 2:13,Mark 2:15,Matt 9:9,Matt 9:11,2,0.401332,Mark 2:13 | Mark 2:14 | Mark 2:15,Matt 9:9 | Matt 9:10 | Matt 9:11
Mark 2:13,Mark 2:15,Matt 9:10,Matt 9:12,3,0.219124,Mark 2:13 | Mark 2:14 | Mark 2:15,Matt 9:10 | Matt 9:11 | Matt 9:12
Mark 2:13,Mark 2:15,Matt 9:7,Matt 9:9,4,0.215143,Mark 2:13 | Mark 2:14 | Mark 2:15,Matt 9:7 | Matt 9:8 | Matt 9:9
Mark 2:14,Mark 2:16,Matt 9:9,Matt 9:11,1,0.48568,Mark 2:14 | Mark 2:15 | Mark 2:16,Matt 9:9 | Matt 9:10 | Matt 9:11
Mark 2:14,Mark 2:16,Matt 9:8,Matt 9:10,2,0.36683,Mark 2:14 | Mark 2:15 | Mark 2:16,Matt 9:8 | Matt 9:9 | Matt 9:10
Mark 2:14,Mark 2:16,Matt 9:10,Matt 9:12,3,0.29907,Mark 2:14 | Mark 2:15 | Mark 2:16,Matt 9:10 | Matt 9:11 | Matt 9:12
Mark 2:14,Mark 2:16,Matt 9:7,Matt 9:9,4,0.189546,Mark 2:14 | Mark 2:15 | Mark 2:16,Matt 9:7 | Matt 9:8 | Matt 9:9
Mark 2:15,Mark 2:17,Matt 9:10,Matt 9:12,1,0.557318,Mark 2:15 | Mark 2:16 | Mark 2:17,Matt 9:10 | Matt 9:11 | Matt 9:12
Mark 2:15,Mark 2:17,Matt 9:11,Matt 9:13,2,0.457723,Mark 2:15 | Mark 2:16 | Mark 2:17,Matt 9:11 | Matt 9:12 | Matt 9:13
Mark 2:15,Mark 2:17,Matt 9:12,Matt 9:14,3,0.340511,Mark 2:15 | Mark 2:16 | Mark 2:17,Matt 9:12 | Matt 9:13 | Matt 9:14
Mark 2:15,Mark 2:17,Matt 9:9,Matt 9:11,4,0.288015,Mark 2:15 | Mark 2:16 | Mark 2:17,Matt 9:9 | Matt 9:10 | Matt 9:11
Mark 2:15,Mark 2:17,Matt 9:8,Matt 9:10,5,0.196109,Mark 2:15 | Mark 2:16 | Mark 2:17,Matt 9:8 | Matt 9:9 | Matt 9:10
Mark 2:16,Mark 2:18,Matt 9:11,Matt 9:13,1,0.467116,Mark 2:16 | Mark 2:17 | Mark 2:18,Matt 9:11 | Matt 9:12 | Matt 9:13
