matt_start_ref,matt_end_ref,mark_start_ref,mark_end_ref,rank,window_score,matt_refs,mark_refs
Matt 7:28,Matt 8:1,Mark 1:20,Mark 1:22,3,0.273562,Matt 7:28 | Matt 7:29 | Matt 8:1,Mark 1:20 | Mark 1:21 | Mark 1:22
Matt 7:29,Matt 8:2,Mark 1:22,Mark 1:24,1,0.199791,Matt 7:29 | Matt 8:1 | Matt 8:2,Mark 1:22 | Mark 1:23 | Mark 1:24
Matt 7:29,Matt 8:2,Mark 1:21,Mark 1:23,2,0.197443,Matt 7:29 | Matt 8:1 | Matt 8:2,Mark 1:21 | Mark 1:22 | Mark 1:23
Matt 7:29,Matt 8:2,Mark 1:20,Mark 1:22,3,0.186375,Matt 7:29 | Matt 8:1 | Matt 8:2,Mark 1:20 | Mark 1:21 | Mark 1:22
Matt 7:29,Matt 8:2,Mark 1:40,Mark 1:42,4,0.160827,Matt 7:29 | Matt 8:1 | Matt 8:2,Mark 1:40 | Mark 1:41 | Mark 1:42
Matt 8:1,Matt 8:3,Mark 1:40,Mark 1:42,1,0.392958,Matt 8:1 | Matt 8:2 | Matt 8:3,Mark 1:40 | Mark 1:41 | Mark 1:42
Matt 8:1,Matt 8:3,Mark 1:39,Mark 1:41,2,0.31486,Matt 8:1 | Matt 8:2 | Matt 8:3,Mark 1:39 | Mark 1:40 | Mark 1:41
Matt 8:1,Matt 8:3,Mark 1:41,Mark 1:43,3,0.290379,Matt 8:1 | Matt 8:2 | Matt 8:3,Mark 1:41 | Mark 1:42 | Mark 1:43
Matt 8:2,Matt 8:4,Mark 1:42,Mark 1:44,1,0.378718,Matt 8:2 | Matt 8:3 | Matt 8:4,Mark 1:42 | Mark 1:43 | Mark 1:44
Matt 8:2,Matt 8:4,Mark 1:40,Mark 1:42,2,0.31147,Matt 8:2 | Matt 8:3 | Matt 8:4,Mark 1:40 | Mark 1:41 | Mark 1:42
Matt 8:2,Matt 8:4,Mark 1:39,Mark 1:41,3,0.256233,Matt 8:2 | Matt 8:3 | Matt 8:4,Mark 1:39 | Mark 1:40 | Mark 1:41
Matt 8:2,Matt 8:4,Mark 1:43,Mark 1:45,4,0.246447,Matt 8:2 | Matt 8:3 | Matt 8:4,Mark 1:43 | Mark 1:44 | Mark 1:45
Matt 8:2,Matt 8:4,Mark 1:44,Mark 2:1,5,0.233773,Matt 8:2 | Matt 8:3 | Matt 8:4,Mark 1:44 | Mark 1:45 | Mark 2:1
Matt 8:2,Matt 8:4,Mark 1:41,Mark 1:43,6,0.225968,Matt 8:2 | Matt 8:3 | Matt 8:4,Mark 1:41 | Mark 1:42 | Mark 1:43
Matt 8:3,Matt 8:5,Mark 1:42,Mark 1:44,1,0.38804,Matt 8:3 | Matt 8:4 | Matt 8:5,Mark 1:42 | Mark 1:43 | Mark 1:44
Matt 8:3,Matt 8:5,Mark 1:44,Mark 2:1,2,0.268758,Matt 8:3 | Matt 8:4 | Matt 8:5,Mark 1:44 | Mark 1:45 | Mark 2:1
Matt 8:3,Matt 8:5,Mark 1:43,Mark 1:45,3,0.260217,Matt 8:3 | Matt 8:4 | Matt 8:5,Mark 1:43 | Mark 1:44 | Mark 1:45
Matt 8:3,Matt 8:5,Mark 1:41,Mark 1:43,4,0.233591,Matt 8:3 | Matt 8:4 | Matt 8:5,Mark 1:41 | Mark 1:42 | Mark 1:43
Matt 8:3,Matt 8:5,Mark 1:40,Mark 1:42,5,0.227968,Matt 8:3 | Matt 8:4 | Matt 8:5,Mark 1:40 | Mark 1:41 | Mark 1:42
Matt 8:3,Matt 8:5,Mark 1:39,Mark 1:41,6,0.179632,Matt 8:3 | Matt 8:4 | Matt 8:5,Mark 1:39 | Mark 1:40 | Mark 1:41
Matt 8:4,Matt 8:6,Mark 1:42,Mark 1:44,1,0.330061,Matt 8:4 | Matt 8:5 | Matt 8:6,Mark 1:42 | Mark 1:43 | Mark 1:44
Matt 8:4,Matt 8:6,Mark 1:44,Mark 2:1,2,0.270221,Matt 8:4 | Matt 8:5 | Matt 8:6,Mark 1:44 | Mark 1:45 | Mark 2:1
Matt 8:4,Matt 8:6,Mark 1:43,Mark 1:45,3,0.261761,Matt 8:4 | Matt 8:5 | Matt 8:6,Mark 1:43 | Mark 1:44 | Mark 1:45
Matt 8:13,Matt 8:15,Mark 1:29,Mark 1:31,1,0.244246,Matt 8:13 | Matt 8:14 | Matt 8:15,Mark 1:29 | Mark 1:30 | Mark 1:31
Matt 8:13,Matt 8:15,Mark 1:30,Mark 1:32,2,0.191523,Matt 8:13 | Matt 8:14 | Matt 8:15,Mark 1:30 | Mark 1:31 | Mark 1:32
Matt 8:14,Matt 8:16,Mark 1:30,Mark 1:32,1,0.319858,Matt 8:14 | Matt 8:15 | Matt 8:16,Mark 1:30 | Mark 1:31 | Mark 1:32
Matt 8:14,Matt 8:16,Mark 1:31,Mark 1:33,2,0.261403,Matt 8:14 | Matt 8:15 | Matt 8:16,Mark 1:31 | Mark 1:32 | Mark 1:33
